name,chunk_size,chunk_overlap,search_type,k,precision,recall,f1
baseline,512,51,similarity,4,0.2375,0.95,0.38
allmpnet_k3,512,51,similarity,3,0.31666666666666676,0.95,0.47500000000000014
allmpnet_k5,512,51,similarity,5,0.1900000000000001,0.95,0.3166666666666668
allmpnet_k7,512,51,similarity,7,0.13571428571428576,0.95,0.2375000000000001
allmpnet_k5_MMR,512,51,mmr,5,0.19500000000000012,0.975,0.3250000000000001
allmpnet_k3_MMR,512,51,mmr,3,0.3250000000000001,0.975,0.48750000000000016
allminiLM_k4,512,51,similarity,4,0.24375,0.975,0.38999999999999996
allminiLM_k3,512,51,similarity,3,0.3250000000000001,0.975,0.48750000000000016
allminiLM_k5,512,51,similarity,5,0.19500000000000012,0.975,0.3250000000000001
allminiLM_k7,512,51,similarity,7,0.13928571428571435,0.975,0.2437500000000001
allminiLM_chunk=256_k5,256,25,similarity,5,0.19500000000000012,0.975,0.3250000000000001
allminiLM_chunk=1024_k5,1024,102,similarity,5,0.19500000000000012,0.975,0.3250000000000001
allminiLM_k5_MMR,512,51,mmr,5,0.19500000000000012,0.975,0.3250000000000001
allminiLM_k3_MMR,512,51,mmr,3,0.3250000000000001,0.975,0.48750000000000016
multiQA_MPnet_k4,512,51,similarity,4,0.23125,0.925,0.37000000000000005
multiQA_MPnet_k3,512,51,similarity,3,0.30833333333333346,0.925,0.4625000000000002
multiQA_MPnet_k5,512,51,similarity,5,0.1900000000000001,0.95,0.3166666666666668
multiQA_MPnet_k7,512,51,similarity,7,0.13571428571428576,0.95,0.2375000000000001
multiQA_MPnet_chunk=256_k5,256,25,similarity,5,0.19500000000000012,0.975,0.3250000000000001
multiQA_MPnet_chunk=1024_k5,1024,102,similarity,5,0.1900000000000001,0.95,0.3166666666666668
multiQA_MPnet_k5_MMR,512,51,mmr,5,0.1900000000000001,0.95,0.3166666666666668
multiQA_MPnet_k3_MMR,512,51,mmr,3,0.31666666666666676,0.95,0.47500000000000014
